ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Meta: _wpml_word_count,Meta: _wpml_media_duplicate,Meta: _wpml_media_featured,Meta: _wpml_media_has_media,Meta: _yoast_wpseo_content_score,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default
832,variation,GF1W5D2MA56/12,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1465,,,,,,,id:256,,,,,,5,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
850,variation,GF1W5D2MA56/15,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1665,,,,,,,id:256,,,,,,23,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
868,variation,GF1W5D2MA56/18,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1940,,,,,,,id:256,,,,,,41,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
834,variation,GF1W5D3MA57/12,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1840,,,,,,,id:256,,,,,,7,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
852,variation,GF1W5D3MA57/15,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2040,,,,,,,id:256,,,,,,25,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
870,variation,GF1W5D3MA57/18,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2390,,,,,,,id:256,,,,,,43,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
833,variation,GF1W5D4MA60/12,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1590,,,,,,,id:256,,,,,,6,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
851,variation,GF1W5D4MA60/15,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1790,,,,,,,id:256,,,,,,24,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
869,variation,GF1W5D4MA60/18,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2190,,,,,,,id:256,,,,,,42,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
841,variation,GF1W6D2MA58/12,Gluten Free Low Carb,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1758,,,,,,,id:256,,,,,,14,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
